ID,Latitude,Longitude,Year,ET_mm_total_year,EVI_avg_year,NDVI_avg_year
142,24.084519,-110.325344,2025,65.1,0.11291666666666667,0.15480833333333333
143,24.030556,-110.356111,2021,191.0,0.13135652173913043,0.19020434782608694
143,24.030556,-110.356111,2022,167.5,0.12926521739130434,0.19538695652173912
143,24.030556,-110.356111,2023,177.4,0.1570086956521739,0.2323391304347826
143,24.030556,-110.356111,2024,133.4,0.12107391304347825,0.1821478260869565
143,24.030556,-110.356111,2025,74.9,0.11443333333333333,0.165475
145-R,24.080753,-110.333206,2021,172.5,0.12555217391304346,0.18272608695652173
145-R,24.080753,-110.333206,2022,168.5,0.14144347826086956,0.18915652173913045
145-R,24.080753,-110.333206,2023,189.5,0.122,0.17866521739130437
145-R,24.080753,-110.333206,2024,132.4,0.13282608695652173,0.1947826086956522
145-R,24.080753,-110.333206,2025,71.6,0.09626666666666667,0.141775
146,24.081944,-110.343889,2021,199.6,0.1978782608695652,0.3012086956521739
146,24.081944,-110.343889,2022,205.8,0.19215217391304348,0.2858304347826087
146,24.081944,-110.343889,2023,223.5,0.19507391304347826,0.28572608695652174
146,24.081944,-110.343889,2024,156.9,0.1773521739130435,0.26837391304347824
146,24.081944,-110.343889,2025,74.6,0.12843333333333332,0.19310833333333333
151,24.055,-110.333056,2021,159.7,0.1465695652173913,0.20185217391304347
151,24.055,-110.333056,2022,147.7,0.14672608695652176,0.20480434782608695
151,24.055,-110.333056,2023,171.5,0.17329130434782608,0.24333478260869565
151,24.055,-110.333056,2024,118.1,0.14649565217391305,0.20726086956521741
151,24.055,-110.333056,2025,66.9,0.12289166666666668,0.16893333333333335
152,24.057222,-110.343333,2021,187.5,0.16712173913043477,0.23875217391304346
152,24.057222,-110.343333,2022,173.3,0.15975652173913044,0.23110869565217393
152,24.057222,-110.343333,2023,209.6,0.19465652173913045,0.2691086956521739
152,24.057222,-110.343333,2024,169.9,0.18915652173913045,0.26879565217391305
152,24.057222,-110.343333,2025,76.0,0.12470833333333332,0.178575
153,24.058889,-110.3475,2021,231.7,0.24334347826086955,0.33231739130434784
153,24.058889,-110.3475,2022,213.5,0.19353478260869564,0.2992304347826087
