ID,Latitude,Longitude,Year,ET_mm_total_year
368,24.102222,-110.418333,2024,112.8
368,24.102222,-110.418333,2025,68.7
378-R,24.053611,-110.372778,2021,225.4
378-R,24.053611,-110.372778,2022,216.1
378-R,24.053611,-110.372778,2023,240.4
378-R,24.053611,-110.372778,2024,190.1
378-R,24.053611,-110.372778,2025,88.8
379,24.099167,-110.416944,2021,145.6
379,24.099167,-110.416944,2022,141.5
379,24.099167,-110.416944,2023,150.8
379,24.099167,-110.416944,2024,119.6
379,24.099167,-110.416944,2025,71.8
380-R,24.040833,-110.383889,2021,225.0
380-R,24.040833,-110.383889,2022,211.6
380-R,24.040833,-110.383889,2023,273.5
380-R,24.040833,-110.383889,2024,201.2
380-R,24.040833,-110.383889,2025,90.3
381-R,24.069444,-110.413889,2021,178.1
381-R,24.069444,-110.413889,2022,162.2
381-R,24.069444,-110.413889,2023,179.0
381-R,24.069444,-110.413889,2024,144.3
381-R,24.069444,-110.413889,2025,76.0
384,24.0825,-110.419167,2021,182.1
384,24.0825,-110.419167,2022,170.8
384,24.0825,-110.419167,2023,187.1
384,24.0825,-110.419167,2024,146.3
384,24.0825,-110.419167,2025,74.3
385,24.085556,-110.408056,2021,202.8
385,24.085556,-110.408056,2022,188.9
385,24.085556,-110.408056,2023,203.9
385,24.085556,-110.408056,2024,183.2
385,24.085556,-110.408056,2025,92.0
391,24.053056,-110.383611,2021,190.7
391,24.053056,-110.383611,2022,196.1
391,24.053056,-110.383611,2023,205.0
391,24.053056,-110.383611,2024,172.0
391,24.053056,-110.383611,2025,79.4
400,24.015556,-110.390278,2021,266.1
400,24.015556,-110.390278,2022,215.7
400,24.015556,-110.390278,2023,248.1
400,24.015556,-110.390278,2024,183.1
400,24.015556,-110.390278,2025,79.10000000000001
403,24.038333,-110.37,2021,248.2
403,24.038333,-110.37,2022,233.3
403,24.038333,-110.37,2023,251.8
403,24.038333,-110.37,2024,225.2
403,24.038333,-110.37,2025,122.7
405,24.063056,-110.411111,2021,193.4
405,24.063056,-110.411111,2022,165.0
405,24.063056,-110.411111,2023,176.6
405,24.063056,-110.411111,2024,141.8
405,24.063056,-110.411111,2025,77.8
406,24.089444,-110.408889,2021,175.8
406,24.089444,-110.408889,2022,172.1
406,24.089444,-110.408889,2023,173.0
406,24.089444,-110.408889,2024,152.4
406,24.089444,-110.408889,2025,82.4
407,24.075,-110.398611,2021,182.3
407,24.075,-110.398611,2022,174.9
407,24.075,-110.398611,2023,187.6
407,24.075,-110.398611,2024,151.5
407,24.075,-110.398611,2025,83.2
408,24.077778,-110.398889,2021,182.3
408,24.077778,-110.398889,2022,174.9
408,24.077778,-110.398889,2023,187.6
408,24.077778,-110.398889,2024,151.5
408,24.077778,-110.398889,2025,83.2
409,24.018611,-110.400278,2021,231.3
409,24.018611,-110.400278,2022,200.8
409,24.018611,-110.400278,2023,223.5
409,24.018611,-110.400278,2024,146.6
409,24.018611,-110.400278,2025,75.9
415,24.108333,-110.291667,2021,185.9
415,24.108333,-110.291667,2022,208.1
415,24.108333,-110.291667,2023,222.29999999999998
415,24.108333,-110.291667,2024,140.4
415,24.108333,-110.291667,2025,71.4
416,24.1225,-110.299167,2021,1507052.0
416,24.1225,-110.299167,2022,1507052.0
416,24.1225,-110.299167,2023,1507052.0
416,24.1225,-110.299167,2024,1507052.0
416,24.1225,-110.299167,2025,819050.0
419,24.112417,-110.328147,2021,145.0
419,24.112417,-110.328147,2022,141.1
419,24.112417,-110.328147,2023,145.9
419,24.112417,-110.328147,2024,105.10000000000001
419,24.112417,-110.328147,2025,65.8
422,24.070694,-110.327419,2021,169.5
422,24.070694,-110.327419,2022,169.7
422,24.070694,-110.327419,2023,184.9
422,24.070694,-110.327419,2024,148.6
422,24.070694,-110.327419,2025,79.4
BOLA DE FUEGO,24.056667,-110.392222,2021,192.6
BOLA DE FUEGO,24.056667,-110.392222,2022,170.0
BOLA DE FUEGO,24.056667,-110.392222,2023,207.7
BOLA DE FUEGO,24.056667,-110.392222,2024,157.9
BOLA DE FUEGO,24.056667,-110.392222,2025,76.9
BUEN SUR,23.929278,-110.255333,2021,251.8
BUEN SUR,23.929278,-110.255333,2022,259.5
BUEN SUR,23.929278,-110.255333,2023,250.5
BUEN SUR,23.929278,-110.255333,2024,175.4
BUEN SUR,23.929278,-110.255333,2025,74.5
EL PALMAR,23.932528,-110.259556,2021,252.7
EL PALMAR,23.932528,-110.259556,2022,260.9
EL PALMAR,23.932528,-110.259556,2023,267.9
EL PALMAR,23.932528,-110.259556,2024,177.3
EL PALMAR,23.932528,-110.259556,2025,83.7
Gilberto Chvez A.,23.934222,-110.261194,2021,279.3
Gilberto Chvez A.,23.934222,-110.261194,2022,295.9
Gilberto Chvez A.,23.934222,-110.261194,2023,316.0
Gilberto Chvez A.,23.934222,-110.261194,2024,188.1
Gilberto Chvez A.,23.934222,-110.261194,2025,82.5
Patricio Suarez A.,23.93494,-110.24303,2021,285.9
Patricio Suarez A.,23.93494,-110.24303,2022,298.9
Patricio Suarez A.,23.93494,-110.24303,2023,296.3
Patricio Suarez A.,23.93494,-110.24303,2024,186.5
Patricio Suarez A.,23.93494,-110.24303,2025,77.3
SAPA La Paz San Pedro,23.929722,-110.263889,2021,234.0
SAPA La Paz San Pedro,23.929722,-110.263889,2022,248.4
SAPA La Paz San Pedro,23.929722,-110.263889,2023,255.1
SAPA La Paz San Pedro,23.929722,-110.263889,2024,172.2
SAPA La Paz San Pedro,23.929722,-110.263889,2025,80.7
SAPA No.4 R,23.994167,-110.332778,2021,243.79999999999998
SAPA No.4 R,23.994167,-110.332778,2022,243.2
SAPA No.4 R,23.994167,-110.332778,2023,239.4
SAPA No.4 R,23.994167,-110.332778,2024,181.8
SAPA No.4 R,23.994167,-110.332778,2025,82.5
SN1,24.091944,-110.402222,2021,167.4
SN1,24.091944,-110.402222,2022,160.3
SN1,24.091944,-110.402222,2023,158.5
SN1,24.091944,-110.402222,2024,138.4
SN1,24.091944,-110.402222,2025,76.4
SN2,24.028611,-110.373333,2021,223.8
SN2,24.028611,-110.373333,2022,205.8
SN2,24.028611,-110.373333,2023,252.79999999999998
SN2,24.028611,-110.373333,2024,188.9
SN2,24.028611,-110.373333,2025,84.0
SN3,24.024167,-110.389444,2021,260.9
SN3,24.024167,-110.389444,2022,245.7
SN3,24.024167,-110.389444,2023,273.3
SN3,24.024167,-110.389444,2024,212.0
SN3,24.024167,-110.389444,2025,96.60000000000001
SN4,24.025833,-110.3825,2021,257.6
SN4,24.025833,-110.3825,2022,209.3
SN4,24.025833,-110.3825,2023,250.6
SN4,24.025833,-110.3825,2024,190.2
SN4,24.025833,-110.3825,2025,86.8
Sapa No.21,24.021667,-110.3175,2021,228.5
Sapa No.21,24.021667,-110.3175,2022,232.2
Sapa No.21,24.021667,-110.3175,2023,226.8
Sapa No.21,24.021667,-110.3175,2024,185.6
Sapa No.21,24.021667,-110.3175,2025,79.7
