Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_piezometrico,precip_mm,temp_C
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2017,,205.95,24.52
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2018,,308.82,24.61
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2019,,445.63,23.94
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2020,,107.63,24.36
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2021,,342.8,24.35
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2022,,243.31,24.01
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2023,,396.31,24.49
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2024,,60.41,24.3
128,Baja California Sur,LA PAZ,36.0,24.089719,-110.312672,2025,,,
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,1996,30.14,188.64,23.93
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,1997,30.02,270.67,24.02
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,1998,,337.99,23.9
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,1999,29.77,55.93,23.57
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2000,29.93,82.23,23.72
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2001,31.65,316.65,23.32
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2002,30.0,130.81,23.39
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2003,29.53,377.61,23.54
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2004,29.15,218.6,23.27
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2005,28.4,175.53,23.24
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2006,28.75,197.03,24.06
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2007,29.3,180.56,23.37
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2008,29.4,184.97,23.83
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2009,29.1,254.98,23.9
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2010,29.35,111.93,23.15
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2011,29.82,90.29,23.87
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2012,31.95,348.92,23.82
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2013,29.1,189.53,23.79
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2014,32.7,426.42,24.94
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2015,,270.81,25.04
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2016,30.88,267.72,24.68
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2017,,205.95,24.52
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2018,,308.82,24.61
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2019,,445.63,23.94
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2020,,107.63,24.36
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2021,,342.8,24.35
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2022,40.49,243.31,24.01
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2023,,396.31,24.49
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2024,,60.41,24.3
129-B,Baja California Sur,LA PAZ,26.0,24.098483,-110.316931,2025,,,
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,1996,20.96,188.64,23.93
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,1997,21.1,270.67,24.02
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,1998,,337.99,23.9
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,1999,20.78,55.93,23.57
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2000,21.18,82.23,23.72
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2001,,316.65,23.32
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2002,20.57,130.81,23.39
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2003,20.21,377.61,23.54
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2004,19.63,218.6,23.27
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2005,19.11,175.53,23.24
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2006,19.62,197.03,24.06
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2007,19.79,180.56,23.37
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2008,19.9,184.97,23.83
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2009,19.75,254.98,23.9
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2010,20.35,111.93,23.15
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2011,20.7,90.29,23.87
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2012,23.92,348.92,23.82
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2013,19.75,189.53,23.79
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2014,17.45,426.42,24.94
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2015,,270.81,25.04
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2016,21.69,267.72,24.68
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2017,,205.95,24.52
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2018,,308.82,24.61
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2019,,445.63,23.94
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2020,,107.63,24.36
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2021,,342.8,24.35
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2022,21.14,243.31,24.01
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2023,,396.31,24.49
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2024,,60.41,24.3
134,Baja California Sur,LA PAZ,20.0,24.104028,-110.323978,2025,,,
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,1996,18.91,188.64,23.93
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,1997,17.06,270.67,24.02
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,1998,,337.99,23.9
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,1999,16.89,55.93,23.57
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2000,17.12,82.23,23.72
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2001,,316.65,23.32
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2002,16.63,130.81,23.39
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2003,16.56,377.61,23.54
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2004,15.55,218.6,23.27
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2005,15.02,175.53,23.24
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2006,15.5,197.03,24.06
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2007,15.71,180.56,23.37
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2008,16.08,184.97,23.83
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2009,16.3,254.98,23.9
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2010,16.52,111.93,23.15
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2011,16.85,90.29,23.87
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2012,17.2,348.92,23.82
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2013,16.3,189.53,23.79
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2014,24.03,426.42,24.94
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2015,,270.81,25.04
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2016,17.84,267.72,24.68
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2017,,205.95,24.52
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2018,,308.82,24.61
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2019,,445.63,23.94
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2020,,107.63,24.36
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2021,,342.8,24.35
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2022,17.37,243.31,24.01
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2023,,396.31,24.49
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2024,,60.41,24.3
135-R,Baja California Sur,LA PAZ,18.0,24.108056,-110.325556,2025,,,
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,1996,28.64,188.64,23.93
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,1997,29.0,270.67,24.02
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,1998,,337.99,23.9
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,1999,28.64,55.93,23.57
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2000,,82.23,23.72
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2001,,316.65,23.32
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2002,,130.81,23.39
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2003,,377.61,23.54
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2004,,218.6,23.27
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2005,,175.53,23.24
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2006,,197.03,24.06
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2007,,180.56,23.37
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2008,,184.97,23.83
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2009,,254.98,23.9
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2010,34.67,111.93,23.15
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2011,,90.29,23.87
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2012,,348.92,23.82
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2013,,189.53,23.79
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2014,,426.42,24.94
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2015,,270.81,25.04
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2016,,267.72,24.68
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2017,,205.95,24.52
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2018,,308.82,24.61
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2019,,445.63,23.94
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2020,,107.63,24.36
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2021,,342.8,24.35
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2022,46.16,243.31,24.01
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2023,,396.31,24.49
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2024,,60.41,24.3
137,Baja California Sur,LA PAZ,28.0,24.09143,-110.31356,2025,,,
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,1996,35.03,188.64,23.93
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,1997,35.56,270.67,24.02
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,1998,,337.99,23.9
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,1999,34.76,55.93,23.57
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2000,35.27,82.23,23.72
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2001,,316.65,23.32
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2002,34.9,130.81,23.39
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2003,35.49,377.61,23.54
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2004,,218.6,23.27
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2005,33.67,175.53,23.24
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2006,34.3,197.03,24.06
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2007,34.24,180.56,23.37
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2008,,184.97,23.83
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2009,34.2,254.98,23.9
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2010,31.88,111.93,23.15
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2011,35.09,90.29,23.87
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2012,40.94,348.92,23.82
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2013,34.2,189.53,23.79
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2014,36.28,426.42,24.94
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2015,,270.81,25.04
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2016,38.94,267.72,24.68
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2017,,205.95,24.52
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2018,,308.82,24.61
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2019,,445.63,23.94
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2020,,107.63,24.36
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2021,,342.8,24.35
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2022,,243.31,24.01
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2023,,396.31,24.49
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2024,,60.41,24.3
138,Baja California Sur,LA PAZ,36.0,24.089228,-110.324194,2025,,,
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,1996,28.68,188.64,23.93
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,1997,28.8,270.67,24.02
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,1998,,337.99,23.9
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,1999,28.74,55.93,23.57
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2000,29.02,82.23,23.72
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2001,,316.65,23.32
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2002,28.78,130.81,23.39
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2003,,377.61,23.54
140,Baja California Sur,LA PAZ,28.0,24.088483,-110.331106,2004,28.18,218.6,23.27
